original,stemmed,length,pos_tag
kakku,kaku,4,Noun
lasityö,lasityö,7,Noun
koristelu,koristelu,9,Noun
titaani,tita,4,Noun
leipomine,leipom,6,Noun
etniset,etnis,5,Noun
sisustamine,sisustam,8,Noun
kudonta,kudon,5,Noun
vaatesäilytys,vaatesäilytys,13,Noun
koti,koti,4,Noun
talvihäät,talvih,6,Noun
kotilieden,kotilied,8,Verb
itse,its,3,Pronoun
tyyny,tyyny,5,Noun
parhaat,parh,4,Noun
lankatekniikat,lankatekniik,12,Noun
ompelu,ompelu,6,Noun
hääjuhla,hääjuhl,7,Noun
vihkisormus,vihkisormus,11,Noun
kuidut,kuidu,5,Noun
pyhäinpäivä,pyhäinpäiv,10,Noun
piirakat,piirak,6,Noun
villatakki,villatak,8,Noun
karjala,karjal,6,Noun
matto,mato,4,Noun
säilytys,säilytys,8,Noun
askartelu,askartelu,9,Noun
sisustusideat,sisustusidea,12,Noun
syksy,syksy,5,Noun
silkin,silk,4,Noun
kahvi,kahv,4,Noun
joulupullat,joulupul,8,Noun
häät,häät,4,Noun
jouluaskartelu,jouluaskartelu,14,Noun
samppanja,samppanj,8,Noun
taimet,taime,5,Noun
huopahahmo,huopahahmo,10,Noun
kangaspuut,kangaspu,8,Noun
joulupuuhaa,joulupuuh,9,Noun
tiikerikakku,tiikerikaku,11,Noun
joululahja,joululahj,9,Noun
neuleohjeet,neuleohj,8,Noun
lapaset,lapas,5,Noun
joulukoriste,joulukorist,11,Noun
häiden,häide,5,Noun
hääpäivä,hääpäiv,7,Noun
matkustamine,matkustam,9,Noun
kuvagalleria,kuvagaller,10,Noun
koirat,koira,5,Noun
muistot,muisto,6,Noun
olki,olk,3,Noun
essu,esu,3,Noun
villan,vil,3,Noun
lasten,last,4,Adjective
hääkakkutrendit,hääkakkutrend,13,Noun
joululahjavinkit,joululahjavink,14,Noun
hääkukat,hääkuk,6,Noun
kesähäät,kesäh,5,Noun
leivonta,leivon,6,Noun
makeiset,makeis,6,Noun
neulone,neulon,6,Noun
kurpitsalyhty,kurpitsalyhty,13,Noun
kotoisa,kotois,6,Noun
pehmolelut,pehmolelu,9,Noun
pulla,pul,3,Noun
hääjärjestelyt,hääjärjestely,13,Adverb
lastenvaatteet,lastenvaat,10,Noun
valaisinsuunnittelu,valaisinsuunnittelu,19,Noun
villasukat,villasuk,8,Noun
ruokaideat,ruokaidea,9,Noun
huivi,huivi,5,Noun
siviilivihkimine,siviilivihkim,13,Noun
jouluruoka,jouluruok,9,Noun
pionit,pioni,5,Noun
joulupulla,joulupu,7,Noun
maistraatti,maistraat,9,Noun
lankojen,lanko,5,Noun
neulo,neulo,5,Noun
laukut,lauku,5,Noun
sohva,sohv,4,Noun
morsia,mors,4,Noun
joulukakut,joulukaku,9,Noun
keltakulta,keltaku,7,Noun
juhlajuoma,juhlajuom,9,Noun
häämeikki,häämeik,7,Noun
pikkuleivät,pikkuleiv,9,Noun
käsityöohjeet,käsityöohj,10,Noun
pintaneule,pintaneul,9,Noun
käsityö,käsityö,7,Noun
hääkakut,hääkaku,7,Noun
valaisi,valai,5,Noun
askartelukirja,askartelukirj,13,Noun
joulukäsityö,joulukäsityö,12,Noun
vaatehuone,vaatehuon,9,Noun
opas,opas,4,Noun
cava,cava,4,Noun
häämatka,häämatk,7,Noun
joululeipä,joululei,8,Noun
meikkivinkit,meikkivink,10,Noun
käsityökirja,käsityökirj,11,Noun
meikit,meiki,5,Noun
juhlaruoka,juhlaruok,9,Noun
diy,diy,3,Noun
kirjoneule,kirjoneul,9,Noun
neulomine,neulom,6,Noun
joululeivonnaiset,joululeivonnais,15,Noun
punaviini,punav,5,Noun
kulmakarvat,kulmakarv,9,Noun
virkkaus,virkkaus,8,Noun
nukke,nuk,3,Noun
juomat,juoma,5,Noun
tölkkiaskartelu,tölkkiaskartelu,15,Noun
lahja,lahj,4,Noun
neule,neule,5,Noun
matkat,matk,4,Noun
tölkki,tölk,4,Noun
kuivakakut,kuivakaku,9,Noun
juhlameikki,juhlameik,9,Noun
puutarhanhoito,puutarhanhoito,14,Noun
lyhty,lyhty,5,Noun
joululeivonta,joululeivon,11,Noun
timantti,timant,6,Noun
mekko,meko,4,Noun
takki,tak,3,Noun
amerikka,amerik,6,Noun
valkoviini,valkov,6,Noun
sisustaminen,sisustamin,10,Noun
vihkiminen,vihkimin,8,Noun
puuhakirja,puuhakirj,9,Noun
tee,tee,3,Noun
leivonnaiset,leivonnais,10,Noun
sormus,sormus,6,Noun
virkkaamine,virkkaam,8,Noun
kaava,kaava,5,Noun
kierrätys,kierrätys,9,Noun
avioliitto,avioliito,9,Noun
koristeet,korist,6,Noun
jouluelämää,joulueläm,9,Noun
huovuttamine,huovuttam,9,Noun
huovutus,huovutus,8,Noun
perinneneuleet,perinneneul,11,Noun
värjääminen,värjäämin,9,Noun
kummikerho,kummikerho,10,Noun
kirkko,kirko,5,Noun
häämatkavinkit,häämatkavink,12,Noun
kahvikakut,kahvikaku,9,Noun
langat,lang,4,Noun
puutarha,puutarh,7,Noun
palmikkoneule,palmikkoneul,12,Noun
esteet,est,3,Noun
käsitöitä,käsitö,6,Noun
juomatarjoilu,juomatarjoilu,13,Noun
norjalaisneule,norjalaisneul,13,Noun
myssy,mysy,4,Noun
tekstiilit,tekstiil,8,Noun
sohvatyyny,sohvatyyny,10,Noun
alpakkalanka,alpakkalank,11,Noun
sisustus,sisustus,8,Noun
elektroniikka,elektroniik,11,Noun
pipo,pipo,4,Noun
koristekasvit,koristekasv,11,Noun
esiliina,esil,4,Noun
värjäämine,värjääm,7,Noun
kilpailu,kilpailu,8,Noun
järjestys,järjestys,9,Noun
buffet,buf,3,Noun
kirja,kirj,4,Noun
joulumakeiset,joulumakeis,11,Noun
vintagetyyli,vintagetyyl,11,Noun
remontoimine,remontoim,9,Noun
origami,origam,6,Noun
lemmikit,lemmik,6,Noun
ruoka,ruoka,5,Noun
olkityöt,olkityö,7,Noun
hääkimpputrendit,hääkimpputrend,14,Noun
joulukarkit,joulukark,9,Noun
lelu,lelu,4,Noun
juhlat,juhl,4,Noun
kokkaajan,kokkaaj,7,Noun
prosecco,proseco,7,Noun
koukkuamine,koukkuam,8,Noun
maalaaminen,maalaamin,9,Noun
kuherruskuukausi,kuherruskuukau,14,Noun
punakulta,punaku,6,Noun
nukenvaatteet,nukenvaat,9,Noun
lapset,laps,4,Noun
kirjoneulonta,kirjoneulon,11,Noun
istuttamine,istuttam,8,Noun
ekologisuus,ekologisuus,11,Noun
suklaa,sukl,4,Noun
kihlasormus,kihlasormus,11,Noun
kurpitsa,kurpits,7,Noun
lasi,lasi,4,Noun
roseeviini,roseev,6,Noun
joululeivät,joululeiv,9,Noun
kuohuviini,kuohuv,6,Noun
ruokalahjat,ruokalahj,9,Noun
jouluperinteet,jouluperint,11,Noun
suomi,suomi,5,Noun
joulukalenteri,joulukalenter,13,Noun
neulominen,neulomin,8,Noun
halloween,hallow,6,Noun
valaisimet,valaisim,8,Noun
sukat,suka,4,Noun
kranssi,krans,5,Noun
nalle,nal,3,Adjective
säilytystilat,säilytystil,11,Noun
olkikoriste,olkikorist,10,Noun
videot,video,5,Noun
hääkimppu,hääkimpu,8,Noun
joulukinkku,joulukinku,10,Noun
neulahuovutus,neulahuovutus,13,Noun
jälkiruoat,jälkiruoa,9,Noun
joulu,joulu,5,Noun
valkokulta,valkoku,7,Noun
perennat,peren,5,Noun
asusteet,asust,5,Noun
aloittelija,aloittelij,10,Noun
loma,loma,4,Noun
tuunaus,tuunaus,7,Noun
tyyli,tyyli,5,Noun
meikkaus,meikkaus,8,Noun
vaatteet,vaat,4,Noun
teräs,teräs,5,Noun
tyynynpäälliset,tyynynpäällis,13,Noun
virkkaa,virk,4,Noun
noutopöytä,noutopöy,8,Noun
värjäys,värjäys,7,Noun
somisteet,somist,6,Noun
teepannumyssyt,teepannumysy,12,Noun
