page_index,tag,gt_stem,positions
0,a,juhl,[16]
0,a,joulu,[20]
0,a,juoma,[21]
0,a,leivon,[34]
0,a,kirj,[90]
0,a,ruoka,[104]
0,span,ruoka,[8]
0,p,joulu,[28]
0,p,ruoka,"[36, 64, 91, 260, 460, 487, 578, 614, 626]"
0,p,kaava,[366]
0,p,juhl,[679]
1,a,juhl,[16]
1,a,joulu,[20]
1,a,juoma,[21]
1,a,leivon,[34]
1,a,kirj,[80]
1,a,ruoka,[94]
1,span,ruoka,[3]
1,p,its,"[8, 390]"
1,p,tak,[119]
1,p,ruoka,"[450, 486, 498]"
1,p,juhl,[551]
2,a,juhl,[16]
2,a,joulu,[20]
2,a,juoma,[21]
2,a,leivon,[34]
2,a,ruoka,"[39, 91]"
2,a,kirj,[77]
2,span,ruoka,[3]
2,p,its,"[116, 257]"
2,p,est,[185]
2,p,ruoka,"[279, 315, 327]"
2,p,juhl,[380]
3,a,juhl,"[16, 39, 58, 64]"
3,a,joulu,[20]
3,a,juoma,[21]
3,a,leivon,[34]
3,a,ruoka,"[36, 106]"
3,a,buf,[57]
3,a,kaku,[59]
3,a,kilpailu,[74]
3,a,kirj,[92]
3,span,kaku,[4]
3,span,ruoka,[8]
3,h1,kaku,[3]
3,p,juhl,"[2, 46]"
3,p,kaku,"[7, 40, 65, 83, 89]"
3,p,its,[36]
3,p,koristelu,[41]
4,a,juhl,"[16, 38]"
4,a,joulu,[20]
4,a,juoma,[21]
4,a,leivon,[34]
4,a,ruoka,"[36, 103]"
4,a,kilpailu,[71]
4,a,kirj,[89]
4,span,ruoka,[4]
4,p,tee,"[19, 26]"
5,a,juhl,"[16, 38, 77]"
5,a,joulu,[20]
5,a,juoma,[21]
5,a,leivon,[34]
5,a,ruoka,"[36, 119]"
5,a,buf,[67]
5,a,noutopöy,[72]
5,a,kilpailu,[87]
5,a,kirj,[105]
5,span,juhl,[2]
5,span,ruoka,[8]
5,h1,juhl,[1]
5,p,juhl,[4]
5,p,tee,"[49, 84]"
5,p,juoma,"[54, 110]"
5,p,kuohuv,[100]
5,p,its,[127]
5,p,ruoka,[228]
5,h3,buf,[1]
5,h3,kuohuv,[4]
6,a,juhl,[16]
6,a,joulu,[20]
6,a,juoma,"[21, 38, 39]"
6,a,leivon,[34]
6,a,ruoka,"[36, 58, 102]"
6,a,cava,"[51, 56]"
6,a,kuohuv,[59]
6,a,kilpailu,[70]
6,a,kirj,[88]
6,span,cava,[1]
6,span,ruoka,[5]
6,h1,cava,[0]
6,p,cava,"[0, 14, 24, 49, 51, 77, 117, 138, 154, 174, 185, 223, 243, 258, 278, 287, 292, 299, 318, 328, 340]"
6,p,kuohuv,"[6, 275]"
6,p,samppanj,"[119, 128, 163]"
6,p,juoma,"[197, 249]"
7,a,juhl,[16]
7,a,joulu,[20]
7,a,juoma,"[21, 38, 39]"
7,a,leivon,[34]
7,a,ruoka,"[36, 93]"
7,a,kilpailu,[61]
7,a,kirj,[79]
7,span,cava,[1]
7,span,ruoka,[6]
7,h1,cava,[0]
7,p,ruoka,[0]
7,p,juhl,[11]
7,p,cava,"[13, 46]"
7,p,juoma,"[26, 56]"
7,p,parh,[41]
7,strong,cava,[48]
7,h3,cava,[1]
7,td,lasi,[105]
7,td,its,[172]
7,td,ruoka,[238]
7,td,tak,[252]
7,td,juhl,[407]
7,td,juhlajuom,[412]
7,em,ruoka,[3]
8,a,juhl,[16]
