page_index,url,title,gt_keywords_count,unique_matched_keywords,matched_tokens_count,total_tokens,gt_coverage_pct,match_rate_pct,matched_keyword_samples
61,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/61,"
   Hurmaava hernesosekeitto - Ruoka.fi
  ",4,4,13,348,100.0,3.7356321839080464,"hern, hernekeito, hernesosekeito, viva"
44,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/44,"
   Gluteeniton lehtikaali-juustopiirakka - Ruoka.fi
  ",4,4,19,380,100.0,5.0,"an, gluteenito, lehtikaal, piirak"
75,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/75,"
   Kantarelli-kasvispannu - Ruoka.fi
  ",4,4,15,369,100.0,4.0650406504065035,"kantarel, kasviks, seura, sieniruoa"
67,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/67,"
   Itämainen sieni-pinaattipiirakka - Ruoka.fi
  ",4,4,14,450,100.0,3.111111111111111,"an, joulu, pinaat, siene"
92,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/92,"
   Liha-makaronilaatikko - Ruoka.fi
  ",4,4,13,346,100.0,3.7572254335260116,"laatiko, makaronilaatiko, pas, seura"
62,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/62,"
   Inkivääri-limebrûlée - Ruoka.fi
  ",7,5,13,373,71.42857142857143,3.485254691689008,"an, inkiväär, lime, mascarpon, paahtovanukas"
35,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/35,"
   Halloumi-punakaaliburgerit - Pippurimylly
  ",5,5,26,446,100.0,5.829596412556054,"halloum, hampurilais, kasviks, pippurimyly, punakaal"
34,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/34,"
   Pippurimylly: Bulgur-kasvispaella - Pippurimylly
  ",5,5,35,436,100.0,8.027522935779817,"bulgur, kasviks, pael, pippurimyly, tofu"
95,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/95,"
   Lohicarpaccio ja vaaleaa balsamicokastiketta - Ruoka.fi
  ",5,5,9,327,100.0,2.7522935779816518,"carpacio, kalaruoa, lohi, lohiruoa, seura"
80,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/80,"
   Keitettyä parsaa ja korvasienikastiketta - Ruoka.fi
  ",5,5,19,399,100.0,4.761904761904762,"kasvisruoa, korvasie, pars, seura, tuore"
89,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/89,"
   Kuharullat kasvisten kera - Ruoka.fi
  ",5,5,15,345,100.0,4.3478260869565215,"kalarul, kalaruoa, kuha, kuharul, seura"
83,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/83,"
   Kinkku-perunamunakas - Ruoka.fi
  ",5,5,16,291,100.0,5.498281786941581,"arkiruoa, kinku, munak, peru, seura"
94,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/94,"
   Limemarinoidut siikafileet ja parsa-perunapaistos - Ruoka.fi
  ",5,5,15,391,100.0,3.8363171355498724,"kalaruoa, kotilääkär, paistetu, siika, siikafil"
59,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/59,"
   Horiátiki-maalaissalaatti - Ruoka.fi
  ",6,5,12,315,83.33333333333334,3.8095238095238098,"kreikkalain, kuvaleht, ruoka, salaat, suome"
3,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/3,"
   6 herkullista voileipäkakkua - näillä kakuilla hurmaat vieraasi - Ruoka.fi
  ",6,6,33,418,100.0,7.894736842105263,"buf, juhl, kaku, noutopöy, voilei"
6,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/6,"
   Cava ja tapakset - Ruoka.fi
  ",6,6,44,665,100.0,6.616541353383458,"an, cava, espanjalain, kuohuv, ruoka"
54,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/54,"
   Helppo tillipesto - Ruoka.fi
  ",6,6,20,281,100.0,7.11743772241993,"ja, kalastus, metsästys, pesto, til"
55,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/55,"
   Herkkusieni-selleripiirakka - Ruoka.fi
  ",6,6,19,401,100.0,4.738154613466334,"herkkusie, leivonnais, piirak, seller, seura"
53,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/53,"
   Helppo tabbouleh-salaatti - Ruoka.fi
  ",6,6,18,296,100.0,6.081081081081082,"an, couscoussalaat, kuskussalaat, lisuk, salaat"
39,https://cs.uef.fi/~himat/WebRank/dataset_12/dataset_12/ruoka/39,"
   Bengalin lihacurry - Ruoka.fi
  ",6,6,16,391,100.0,4.092071611253197,"aasialain, an, cury, liharuoa, naudanlih"
