original,stemmed,length,pos_tag
piirakka,piirak,6,Noun
paprikajauhe,paprikajauh,11,Noun
puolukka,puoluk,6,Noun
mascarpone,mascarpon,9,Noun
riisi,riisi,5,Noun
riisikeiti,riisikeit,9,Noun
noutopöytä,noutopöy,8,Noun
dim,dim,3,Noun
piiras,piiras,6,Noun
kookos,kookos,6,Noun
kotijäätelö,kotijäätelö,11,Noun
italialainen,italialain,10,Noun
teeleivät,teeleiv,7,Noun
hasselbackan,hasselback,10,Noun
riisiruoka,riisiruok,9,Noun
paprika,paprik,6,Noun
campo,campo,5,Noun
paistisuikaleet,paistisuikal,12,Noun
kana,kana,4,Noun
tilli,til,3,Noun
hampurilaiset,hampurilais,11,Noun
kampasimpukat,kampasimpuk,11,Noun
siirapit,siirap,6,Noun
itämainen,itämain,7,Noun
lohiruoat,lohiruoa,8,Noun
joulupuuro,joulupuuro,10,Noun
nopea,nope,4,Noun
buffet,buf,3,Noun
naudanliha,naudanlih,9,Noun
can,can,3,Verb
tarjottavat,tarjottav,9,Noun
pataruoat,pataruoa,8,Noun
riisipuuro,riisipuuro,10,Noun
hirvenliha,hirvenlih,9,Noun
vendrell,vendrel,7,Noun
mausteet,maust,5,Noun
vokit,voki,4,Noun
pizzaresepti,pizzaresept,11,Noun
lohi,lohi,4,Noun
lampaanliha,lampaanlih,10,Noun
leivonta,leivon,6,Noun
siivet,siive,5,Noun
du,du,2,Noun
marokkolainen,marokkolain,11,Noun
tajine,taj,3,Noun
jambalaya,jambalaya,9,Noun
ruisleipä,ruislei,7,Noun
lisukke,lisuk,5,Noun
parsapiirakka,parsapiirak,11,Noun
linssit,lins,4,Noun
alkoholito,alkoholito,10,Noun
chorizo,chorizo,7,Noun
lohikeitto,lohikeito,9,Noun
punakaali,punakaal,8,Noun
voileipä,voilei,6,Noun
berber,berber,6,Noun
kaali,kaali,5,Noun
hernesosekeitto,hernesosekeito,14,Noun
kuohuviini,kuohuv,6,Noun
keittiö,keitiö,6,Noun
siikaruoat,siikaruoa,9,Noun
perunat,perun,5,Noun
garam,garam,5,Noun
kalastus,kalastus,8,Noun
jäätelö,jäätelö,7,Noun
tikka,tik,3,Noun
curry,cury,4,Noun
jouluruoka,jouluruok,9,Noun
tofu,tofu,4,Noun
lammasresepti,lammasresept,12,Noun
olkiperunat,olkiperun,9,Noun
kananugetit,kananuget,9,Verb
tapas,tapas,5,Noun
herkkusienet,herkkusien,10,Noun
lisäkeruoat,lisäkeruoa,10,Noun
crème,crème,5,Noun
kuskussalaatti,kuskussalaat,12,Noun
brie,brie,4,Noun
katalonialainen,katalonialain,13,Noun
palapaisti,palapai,7,Noun
riisipallot,riisipalo,9,Noun
ranskalainen,ranskalain,10,Noun
vartaat,vart,4,Noun
lehtikaali,lehtikaal,9,Noun
jauhelihapihvit,jauhelihapihv,13,Noun
kantarellit,kantarel,8,Noun
grillaus,grillaus,8,Noun
punaine,puna,4,Noun
viva,viva,4,Noun
siikaleipä,siikalei,8,Noun
suppilovahverot,suppilovahvero,14,Noun
kakku,kaku,4,Noun
lihapiirakat,lihapiirak,10,Noun
sienet,siene,5,Noun
tuore,tuore,5,Noun
paella,pael,4,Noun
ruis,ruis,4,Noun
siikafileet,siikafil,8,Noun
inkivääri,inkiväär,8,Noun
bratwurst,bratwurst,9,Noun
lämmin,läm,3,Noun
espanjalainen,espanjalain,11,Noun
leivät,leivä,5,Noun
rieska,riesk,5,Noun
suupalat,suupal,6,Noun
kalarullat,kalarul,7,Noun
metsästys,metsästys,9,Noun
sitruuna,sitru,5,Noun
carpaccio,carpacio,8,Noun
juhlajuomat,juhlajuom,9,Noun
leipäkäärö,leipäkäärö,10,Noun
etikka,etik,4,Noun
keitot,keito,5,Noun
inkiväärilammas,inkiväärilammas,15,Noun
sormisyötävät,sormisyötäv,11,Noun
chicken,chick,5,Noun
gluteenito,gluteenito,10,Noun
kirjolohipasta,kirjolohip,10,Noun
kalapiirakka,kalapiirak,10,Noun
siika,siika,5,Noun
paahtofilee,paahtofil,9,Noun
kasvisruoat,kasvisruoa,10,Noun
sieniruoat,sieniruoa,9,Noun
munaruoat,munaruoa,8,Noun
kotilääkäri,kotilääkär,10,Noun
jogurtti,jogurt,6,Noun
brûlée,brûlée,6,Noun
intilaine,intil,5,Noun
uuniriisi,uunir,5,Noun
kananmuna,kananmu,7,Noun
tähtianis,tähtianis,9,Noun
intialainen,intialain,9,Noun
liharuoat,liharuoa,8,Noun
fond,fond,4,Noun
anna,an,2,Determiner
varpula,varpul,6,Noun
selleri,seller,6,Noun
savupaprika,savupaprik,10,Noun
kanansiivet,kanansiiv,9,Noun
viejo,viejo,5,Noun
focacciat,focacia,7,Noun
helppo,helpo,5,Noun
punaviini,punav,5,Noun
jouluruoat,jouluruoa,9,Noun
kikherneet,kikhern,7,Noun
bataatti,bataat,6,Noun
marokko,maroko,6,Noun
kuha,kuha,4,Noun
kuohuviinit,kuohuviin,9,Noun
lohicurry,lohicury,8,Noun
nuudeli,nuudel,6,Noun
horiátiki,horiátik,8,Noun
testit,test,4,Noun
karitsa,karits,6,Noun
piiraat,piira,5,Noun
suomen,suome,5,Noun
ohutleike,ohutleik,8,Noun
pinaatti,pinaat,6,Noun
lounas,lounas,6,Noun
jäätelökone,jäätelökon,10,Noun
pasta,pas,3,Noun
codorníu,codorníu,8,Noun
limetti,limet,5,Noun
frozen,froze,5,Noun
kurpitsa,kurpits,7,Noun
nutella,nute,4,Noun
punajuuri,punajuur,8,Noun
lammasvartaat,lammasvart,10,Noun
voileipäkakku,voileipäkaku,12,Noun
tomaatti,tomaat,6,Noun
kreikkalainen,kreikkalain,11,Noun
parsakaali,parsakaal,9,Noun
korvasieni,korvasie,8,Noun
focaccia,focac,5,Noun
ja,ja,2,Noun
jogurttijäätelö,jogurttijäätelö,15,Noun
grilliruoat,grilliruoa,10,Noun
kaneli,kanel,5,Noun
suolaiset,suolais,7,Noun
perunaresepti,perunaresept,12,Noun
sosekeitto,sosekeito,9,Noun
broileri,broiler,7,Noun
lihapullat,lihapul,7,Noun
cava,cava,4,Noun
peruna,peru,4,Noun
lihapyörykät,lihapyöryk,10,Noun
retroruokaa,retroruok,9,Noun
chili,chili,5,Noun
munakkaat,munak,5,Noun
teeleipä,teelei,6,Noun
tabbouleh,tabbouleh,9,Noun
ankanrintaa,ankanrint,9,Noun
leivinjauhe,leivinjauh,10,Noun
katkarapukeitto,katkarapukeito,14,Noun
basmati,basmat,6,Noun
afrika,afrik,5,Noun
grillattu,grillatu,8,Noun
kuvalehti,kuvaleht,8,Noun
pizza,piz,3,Noun
arancini,aranc,5,Noun
sisäfilee,sisäfil,7,Noun
katkarapukäärö,katkarapukäärö,14,Noun
kanavartaat,kanavart,8,Noun
bulgur,bulgur,6,Noun
kinkku,kinku,5,Noun
broileriruoat,broileriruoa,12,Noun
vaniljajäätelö,vaniljajäätelö,14,Noun
sienipiiras,sienipiiras,11,Noun
murekkeet,murek,5,Noun
lime,lime,4,Noun
jauheliha,jauhelih,8,Noun
pitsa,pits,4,Noun
katkarapu,katkarapu,9,Noun
hiivato,hiivato,7,Noun
kirjolohi,kirjoloh,8,Noun
leipä,leipä,5,Noun
glukoosisiirappi,glukoosisiirap,14,Noun
suolainen,suolain,7,Noun
jälkiruoka,jälkiruok,9,Noun
paahtovanukas,paahtovanukas,13,Noun
broilerinliha,broilerinlih,12,Noun
makuja,maku,4,Noun
sämpylät,sämpyl,6,Noun
freixenet,freixen,7,Noun
intialaiset,intialais,9,Noun
tummat,tum,3,Noun
sinihomejuusto,sinihomejuusto,14,Noun
salaatit,salaat,6,Noun
kuharullat,kuharul,7,Noun
rakuunaporkkanat,rakuunaporkkan,14,Noun
herkkusieni,herkkusie,9,Noun
espanja,espanj,6,Noun
kukkakaali,kukkakaal,9,Noun
kira,kira,4,Noun
tillipesto,tillipesto,10,Noun
höyrytys,höyrytys,8,Noun
aamiaine,aamia,5,Noun
kasvispiiraat,kasvispiir,10,Noun
annosfondi,annosfond,9,Noun
parsa,pars,4,Noun
karamellisoidut,karamellisoidu,14,Noun
kananpoika,kananpoik,9,Noun
gran,gran,4,Noun
grilliruoka,grilliruok,10,Noun
serranokinkku,serranokinku,12,Noun
kaksplus,kaksplus,8,Noun
juustot,juusto,6,Noun
tomaattikastike,tomaattikastik,14,Noun
lampaanjauheliha,lampaanjauhelih,15,Noun
makkara,makkar,6,Noun
puurot,puuro,5,Noun
kalaleipä,kalalei,7,Noun
säilykeparsa,säilykepars,11,Noun
leipomine,leipom,6,Noun
naudan,nauda,5,Noun
masala,masal,5,Noun
yogurt,yogurt,6,Noun
hauki,hauki,5,Noun
nuudelisalaatti,nuudelisalaat,13,Noun
seura,seura,5,Noun
kala,kala,4,Noun
öljy,öljy,4,Noun
lakkiaiset,lakkiais,8,Noun
kalaruoat,kalaruoa,8,Noun
leivonnaiset,leivonnais,10,Noun
pestot,pesto,5,Noun
kokonaisena,kokonais,8,Noun
karamelliomenat,karamelliomen,13,Noun
tagine,tag,3,Noun
leipäohje,leipäohj,8,Noun
pastaruoat,pastaruoa,9,Noun
kinkkupiirakka,kinkkupiirak,12,Noun
herne,hern,4,Noun
makaronilaatikko,makaronilaatiko,15,Noun
mukana,muka,4,Noun
vanilja,vanilj,6,Noun
kasvikset,kasviks,7,Noun
kanaruoat,kanaruoa,8,Noun
lammas,lammas,6,Noun
sobanuudeli,sobanuudel,10,Noun
chef,chef,4,Noun
halloumi,halloum,7,Noun
couscoussalaatti,couscoussalaat,14,Noun
kalakeitto,kalakeito,9,Noun
vappu,vapu,4,Noun
hapankaali,hapankaal,9,Noun
riisinkeiti,riisinkeit,10,Noun
sataykastike,sataykastik,11,Noun
säilöntä,säilön,6,Noun
lihaliemi,lihaliem,8,Noun
pippurimylly,pippurimyly,11,Noun
rapujuhlat,rapujuhl,8,Noun
italia,ital,4,Noun
sekavihannekset,sekavihanneks,13,Noun
ruoka,ruoka,5,Noun
juhlat,juhl,4,Noun
maailmalta,maailm,6,Noun
kiinalainen,kiinalain,9,Noun
laatikot,laatiko,7,Noun
spagetti,spaget,6,Noun
hernekeitto,hernekeito,10,Noun
savustettu,savustetu,9,Noun
joulu,joulu,5,Noun
kaalikeitto,kaalikeito,10,Noun
vehnäleipä,vehnälei,8,Noun
gelato,gelato,6,Noun
chile,chile,5,Noun
omenat,omen,4,Noun
paprikatahna,paprikatah,10,Noun
sum,sum,3,Noun
terveeline,terveel,7,Noun
lammaspyörykät,lammaspyöryk,12,Noun
paistetut,paistetu,8,Noun
saunapalvikinkku,saunapalvikinku,15,Noun
kerma,kerm,4,Noun
japanilainen,japanilain,10,Noun
juomat,juoma,5,Noun
rapu,rapu,4,Noun
spaghetti,spaghet,7,Noun
appelsiinikastiketta,appelsiinikastik,16,Noun
katakaravut,katakaravu,10,Noun
leipätikut,leipätiku,9,Noun
kotimaiset,kotimais,8,Noun
testaus,testaus,7,Noun
arkiruoat,arkiruoa,8,Noun
aasialainen,aasialain,9,Noun
faustino,faustino,8,Noun
valmistujaiset,valmistujais,12,Noun
marinoitu,marinoitu,9,Noun
sipulikastike,sipulikastik,12,Noun
kookoshiutaleet,kookoshiutal,12,Noun
samosat,samos,5,Noun
