page_index,tag,gt_stem,positions
0,a,test,[9]
0,a,muka,"[10, 36, 43]"
0,a,maku,"[11, 23, 37, 44]"
0,a,juhl,[16]
0,a,joulu,[20]
0,a,juoma,[21]
0,a,maailm,"[24, 113, 115]"
0,a,leivon,[34]
0,a,berber,[39]
0,a,kana,[40]
0,a,kikhern,[41]
0,a,maroko,[42]
0,a,pataruoa,[46]
0,a,tag,[47]
0,a,taj,[48]
0,a,peru,[59]
0,a,kotijäätelö,[65]
0,a,nute,[68]
0,a,ja,[78]
0,a,an,[94]
0,a,kaksplus,[99]
0,a,ruoka,[104]
0,a,seura,[107]
0,a,suome,[108]
0,span,afrik,[1]
0,span,kana,[3]
0,span,tag,[5]
0,span,ruoka,[8]
0,span,chef,[10]
0,span,muka,"[17, 24, 26, 29]"
0,span,maku,"[18, 25, 27, 30]"
0,h1,kana,[2]
0,h1,tag,[4]
0,p,ja,"[5, 14, 41, 74, 79, 125, 132, 142, 145, 150, 160, 168, 188, 211, 222, 235, 321, 348, 415, 426, 471, 490, 555, 567, 577, 593, 604, 611, 624, 643, 659, 665, 672, 678]"
0,p,keitiö,"[19, 597, 638, 642]"
0,p,joulu,[28]
0,p,marokkolain,[35]
0,p,ruoka,"[36, 64, 91, 260, 460, 487, 578, 614, 626]"
0,p,maku,"[71, 73, 234, 505, 618, 632]"
0,p,helpo,[100]
0,p,berber,"[105, 109, 193, 251, 363, 408]"
0,p,paprik,[123]
0,p,öljy,"[141, 179, 231]"
0,p,tag,"[155, 419]"
0,p,an,"[214, 223]"
0,p,kikhern,"[221, 334, 448, 452, 481]"
0,p,muka,"[240, 367, 406, 570, 617, 631]"
0,p,ranskalain,[285]
0,p,terveel,[623]
0,p,juhl,[679]
0,li,paprik,[4]
0,li,kikhern,[6]
0,li,tomaat,[16]
0,li,savustetu,[28]
0,li,paprikajauh,[29]
1,a,test,[9]
1,a,muka,"[10, 36, 43]"
1,a,maku,"[11, 23, 37, 44]"
1,a,juhl,[16]
1,a,joulu,[20]
1,a,juoma,[21]
1,a,maailm,"[24, 103, 105]"
1,a,leivon,[34]
1,a,gelato,[38]
1,a,jäätelö,[39]
1,a,jäätelökon,[40]
1,a,jogurt,[41]
1,a,kotijäätelö,"[42, 55]"
1,a,nute,"[45, 58]"
1,a,peru,[49]
1,a,ja,[68]
1,a,an,[84]
1,a,kaksplus,[89]
1,a,ruoka,[94]
1,a,seura,[97]
1,a,suome,[98]
1,span,ruoka,[3]
1,span,muka,[6]
1,span,maku,[7]
1,p,jäätelö,"[9, 74, 120, 127, 195, 224, 237, 257, 308, 340, 388, 401]"
1,p,ja,"[20, 40, 98, 103, 116, 197, 229, 251, 274, 324, 377, 402, 449, 465, 476, 483, 496, 515, 531, 537, 544, 550]"
1,p,läm,[70]
1,p,öljy,"[78, 407]"
1,p,kotijäätelö,[385]
1,p,jäätelökon,"[393, 421]"
1,p,ruoka,"[450, 486, 498]"
1,p,keitiö,"[469, 510, 514]"
1,p,muka,"[489, 503]"
1,p,maku,"[490, 504]"
1,p,terveel,[495]
1,p,juhl,[551]
1,li,jogurt,[0]
1,li,jäätelö,"[6, 15, 29, 79]"
1,li,ja,"[7, 37, 64, 83]"
1,li,maku,[76]
1,td,gelato,[0]
1,td,nute,[2]
2,a,test,[9]
2,a,muka,"[10, 36, 40]"
2,a,maku,"[11, 23, 37, 41]"
2,a,juhl,[16]
2,a,joulu,[20]
2,a,juoma,[21]
2,a,maailm,"[24, 100, 102]"
2,a,leivon,[34]
2,a,itämain,[38]
2,a,ruoka,"[39, 91]"
2,a,riisi,[42]
2,a,riisikeit,[43]
2,a,riisinkeit,[44]
2,a,peru,[46]
2,a,kotijäätelö,[52]
2,a,nute,[55]
2,a,ja,[65]
2,a,an,[81]
2,a,kaksplus,[86]
2,a,seura,[94]
2,a,suome,[95]
2,span,riisinkeit,[1]
2,span,ruoka,[3]
2,h1,riisinkeit,[0]
2,p,ja,"[13, 59, 75, 91, 107, 138, 161, 266, 278, 294, 305, 312, 325, 344, 360, 366, 373, 379]"
2,p,maailm,[18]
2,p,suome,"[24, 157]"
2,p,riisi,"[38, 163]"
2,p,riisinkeit,[50]
2,p,keitiö,"[58, 298, 339, 343]"
